Business Name,Address of establishment,Town,Type of cuisine,Average price,Business hours,Average rating,Number of reviews,Date of last rating,Position in the ranking,Minimum Price,Maximum Price,Month,Year Of Rating,Price Range,Rating Label
La Bodeguita Ibiza,"Carrer d'Enmig 25, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Italian, Mediterranean",9.96 - 29.89,"Sun - Sat : 7:00 PM - 12:00 AM
Mon - Sat : 11:00 AM - 2:00 PM",4.5,10,"August 3, 2020",41,9.96,29.89,August 3, 2020,Cheap,Excellent
Asia ibiza,"Avenida Pere Matutes Noguera 58 es Viver, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Chinese, Japanese, Sushi, Asian, Thai",8.97 - 24.91,Sun - Sat : 12:00 PM - 12:00 AM,4.0,37,"May 6, 2019",209,8.97,24.91,May 6, 2019,Cheap,Excellent
Capriccio,"Rio Queiles Kalea 12 Bajo Rotonda cruce con Blas de la Serma, 31005 Pamplona Spain", Catedral de Pamplona,"Pizza, Greek, Italian, Bar, Mediterranean, Pub",4.99 - 398.62,"Sun - Thu : 8:00 PM - 11:00 PM
Fri - Sat : 8:00 PM - 11:30 PM
Sat - Sun : 1:00 PM - 3:00 PM",2.0,7,"June 16, 2020",19,4.99,398.62,June 16, 2020,Cheap,Poor
Casa Aurelio,"Calle Sinagoga 6, 45001 Toledo Spain", Catedral Primada,"Mediterranean, Spanish",21.2 - 52.11,"Mon - Sat : 1:00 PM - 4:30 PM
Tue - Sat : 8:00 PM - 11:30 PM",3.0,334,"November 30, 2019",148,21.2,52.11,November 30, 2019,Average,Average
Mr Wok,"Calle Rio Arga, 31014 Pamplona Spain", Catedral de Pamplona,"Chinese, Japanese, Spanish, Asian",10.96 - 14.95,"Mon - Thu : 8:00 PM - 11:00 PM
Mon - Fri : 12:00 PM - 4:00 PM
Fri - Sun : 8:00 PM - 11:30 PM
Sat - Sun : 12:00 PM - 4:30 PM",2.0,14,"May 15, 2018",17,10.96,14.95,May 15, 2018,Cheap,Poor
Lemongrass,"Carretera de Cadiz km 197 Local 34, 29649, Mijas Spain", Puerto Banus Marina,"Asian, Thai",14.95 - 29.89,"Mon : 6:15 AM - 12:15 PM
Tue - Wed : 4:15 AM - 12:15 PM
Thu : 6:15 AM - 12:15 PM
Fri - Sun : 4:15 AM - 12:15 PM",4.5,204,"November 28, 2021",1,14.95,29.89,November 28, 2021,Average,Excellent
Inhalar Ibiza,"Calle Felip II 9, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,Bar,9.96 - 34.88,Tue - Sun : 12:00 PM - 3:00 AM,5.0,8,"June 7, 2018",26,9.96,34.88,June 7, 2018,Cheap,Excellent
Chambao Ibiza,"Cami Ses Feixes, 52, 07800, Ibiza Spain", Castell de Eivissa,"Mediterranean, Seafood, Spanish",24.91 - 49.83,"Sun - Sat : 8:00 AM - 11:00 AM,  1:00 PM - 5:00 PM",4.5,31,"September 8, 2021",70,24.91,49.83,September 8, 2021,Average,Excellent
Pastucci Santa Teresa,"Calle de Colombia 8 Santa Teresa, 45004 Toledo Spain", Monastery of San Juan de los Reyes,"Italian, Pizza, Mediterranean",9.96 - 19.93,"Sun - Sat : 12:30 PM - 5:00 PM
Mon - Thu : 7:30 PM - 11:30 PM
Fri - Sun : 7:30 PM - 12:00 AM",2.0,24,"October 19, 2021",14,9.96,19.93,October 19, 2021,Cheap,Poor
Tierra de Ibiza Tradición Culinaria,"C/ metge riera ferrer 8, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Mediterranean, Spanish, Healthy",9.96 - 21.93,Tue - Fri : 12:00 PM - 4:00 PM,5.0,5,"April 8, 2021",146,9.96,21.93,April 8, 2021,Cheap,Excellent
Pura Vida,"Plaza del Parque Nº2, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Bar, European, Pub",2.0 - 17.94,Sun - Sat : 12:00 AM - 11:59 PM,3.5,44,"September 21, 2019",30,2.0,17.94,September 21, 2019,Cheap,Average
Mama Ibiza,"Puerto deportivo Marina Botafoch Locales 306, 307, 307, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Seafood, Mediterranean, Sushi",9.96 - 30.89,Sun - Sat : 9:00 AM - 12:00 AM,5.0,6,"November 7, 2018",30,9.96,30.89,November 7, 2018,Cheap,Excellent
La Toscana Cervecería,"Calle de La Paz 1, 45001 Toledo Spain", Catedral Primada,Spanish,5.98 - 12.96,"Sun - Tue : 11:00 AM - 7:00 PM
Thu - Fri : 11:00 AM - 1:30 AM
Sat : 11:00 AM - 2:30 AM",2.0,206,"October 5, 2019",269,5.98,12.96,October 5, 2019,Cheap,Poor
Little Italy Casino,"Avda Rafael Puig Livina, 38660, Tenerife Spain", Los Cristianos Harbour,"International, Italian, Mediterranean, Pizza",9.96 - 29.89,Sun - Sat : 11:00 AM - 2:00 AM,3.0,51,"May 27, 2019",39,9.96,29.89,May 27, 2019,Cheap,Average
Bolo Do Caco,"Avenida alejandro del castilo Mercado Municipal de San Fernando, 35100, Maspalomas, Gran Canaria Spain", Playa de Maspalomas,"Mediterranean, European, Spanish, Portuguese",2.0 - 5.98,"Mon : 8:00 AM - 2:00 PM
Wed : 8:00 AM - 2:00 PM
Fri - Sat : 8:00 AM - 2:00 PM",5.0,1 review,"December 7, 2016",62,2.0,5.98,December 7, 2016,Cheap,Excellent
Molus Evolution Restaurante,"Calle Panizo 8, 38652, Tenerife Spain", Los Cristianos Harbour,"Italian, Spanish",9.96 - 99.66,Mon - Sat : 12:00 PM - 10:30 PM,4.5,3,"October 4, 2020",27,9.96,99.66,October 4, 2020,Cheap,Excellent
Ma Kai Cocktail Shisha Bar,"Avenida de Italia 27 Floor -2, 35100, San Bartolome de Tirajana, Gran Canaria Spain", Playa de Maspalomas,"International, Spanish",6.97 - 19.93,"Wed - Sun : 4:45 PM - 3:00 AM
Wed : 12:00 AM - 3:00 AM",4.5,3,"October 23, 2017",12,6.97,19.93,October 23, 2017,Cheap,Excellent
BdG - Bocata del Gordo,"Avenida los Sabandenos 3 Local 2, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Fast Food, International, Deli, Pub, Gastropub",4.99 - 12.96,Mon - Fri : 1:00 PM - 3:30 PM,5.0,6,"August 20, 2019",13,4.99,12.96,August 20, 2019,Cheap,Excellent
Pa'Lante Restaurante,"Calle del Valle Menendez 28, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"International, European, Fusion",9.96 - 24.91,Thu - Tue : 6:30 PM - 12:00 AM,5.0,4,"January 15, 2022",270,9.96,24.91,January 15, 2022,Cheap,Excellent
Hollandaluz,"Calle Valencia 100, 43840 Salou Spain", PortAventura,"Mediterranean, European, Spanish, Healthy, Catalan",0.06 - 0.3,Sun - Sat : 1:00 PM - 12:00 AM,5.0,189,"December 17, 2021",2,0.06,0.3,December 17, 2021,Cheap,Excellent
The Fox and Hounds,"Calle de la Rioja In front hotel delfin park, 43840 Salou Spain", PortAventura,"American, International",4.99 - 24.91,Sun - Sat : 9:00 AM - 2:00 AM,4.5,857,"November 3, 2021",4,4.99,24.91,November 3, 2021,Cheap,Excellent
Panorama Tapas & Lounge Bar,"Carrer de Brussel·les, 11, 43840 Salou Spain", PortAventura,"Mediterranean, Spanish, European, Street Food",14.95 - 24.91,"Mon - Tue : 7:30 PM - 12:00 AM
Thu - Sat : 8:00 PM - 12:00 AM
Sat - Sun : 1:00 PM - 5:00 PM",5.0,172,"October 19, 2021",3,14.95,24.91,October 19, 2021,Average,Excellent
The Guinness Tavern,"Calle Alfonso V, 8, 43840 Salou Spain", PortAventura,"Irish, British, International, Gastropub",7.97 - 29.89,Wed - Mon : 12:00 AM - 11:59 PM,4.5,1869,"October 25, 2021",6,7.97,29.89,October 25, 2021,Cheap,Excellent
La Teca Salou,"Carrer de la Ciutat de Reus, 28, 43840 Salou Spain", PortAventura,"Mediterranean, Spanish, International, Contemporary",6.18 - 17.66,"Tue - Sun : 7:00 PM - 11:30 PM
Sat - Sun : 1:00 PM - 4:30 PM",5.0,171,"October 8, 2021",1,6.18,17.66,October 8, 2021,Cheap,Excellent
T-BONES and TACOS,"Carrer de Barbastre 9, 43840 Salou Spain", PortAventura,"Mexican, Steakhouse, Barbecue, Fusion",9.96 - 29.89,"Sun : 1:00 PM - 4:00 PM
Thu - Sun : 7:00 PM - 11:00 PM",5.0,362,"December 4, 2021",7,9.96,29.89,December 4, 2021,Cheap,Excellent
Besso Salou,"C/Vía Roma, 24, 43840 Salou Spain", PortAventura,"Mediterranean, Spanish, Healthy, Fusion, Gastropub",9.96 - 19.93,Sun - Sat : 12:00 PM - 12:00 AM,4.5,172,"October 25, 2021",8,9.96,19.93,October 25, 2021,Cheap,Excellent
Taj Mahal Indin Restaurant,"Calle Amposta - 9 Calle Amposta- 9, 43840 Salou Spain", PortAventura,"Balti, Indian, Pakistani",12.96 - 19.93,Sun - Sat : 1:00 PM - 12:00 AM,4.5,902,"October 31, 2021",10,12.96,19.93,October 31, 2021,Average,Excellent
Ann's Legends Bar La Pineda,"Calle Carratera de la Costa, 80 Edificio Uolas 6, 43840 Salou Spain", PortAventura,"Bar, European, British, Pub",2.0 - 9.96,Sun - Sat : 9:30 AM - 1:30 AM,4.5,368,"August 2, 2020",1,2.0,9.96,August 2, 2020,Cheap,Excellent
Theatre Town,"Carrer de Barcelona, 43 Bajo 3, 43840 Salou Spain", PortAventura,"International, Mediterranean, Spanish",11.96 - 14.95,"Thu - Fri : 11:00 AM - 3:00 AM
Sat - Wed : 11:00 AM - 1:00 AM",4.5,445,"January 9, 2022",9,11.96,14.95,January 9, 2022,Average,Excellent
La Gresca Food&Drinks,"Calle cami real 2, 43840 Salou Spain", PortAventura,"American, Bar, Mediterranean, European, Spanish",2.99 - 15.95,"Tue - Sun : 10:30 AM - 4:30 PM,  7:00 PM - 12:00 AM",4.5,329,"October 14, 2019",12,2.99,15.95,October 14, 2019,Cheap,Excellent
Restaurante  la Taverna,"Calle Via Aurelia 1 Cerca de la Torre Vella, 43840 Salou Spain", PortAventura,"Spanish, European",14.95 - 49.83,Thu - Tue : 1:00 PM - 11:00 PM,4.5,223,"October 4, 2021",15,14.95,49.83,October 4, 2021,Average,Excellent
La morera,"Calle Berenguer de Palou, 10, 43840 Salou Spain", PortAventura,"Mediterranean, European, Spanish",29.89 - 59.8,"Tue - Sun : 1:30 PM - 3:30 PM
Tue - Sat : 8:30 PM - 10:30 PM",4.5,603,"September 6, 2020",16,29.89,59.8,September 6, 2020,Average,Excellent
Linda's Bar Restaurant,"Plaza Europa 11 Local 3, 43840 Salou Spain", PortAventura,"Spanish, Bar, European, British",4.99 - 17.94,Sun - Sat : 10:00 AM - 10:00 PM,4.5,691,"August 24, 2021",3,4.99,17.94,August 24, 2021,Cheap,Excellent
Sunset St.,"Calle Barcelona 49 local 4, 43840 Salou Spain", PortAventura,"Mediterranean, European, Spanish",5.98 - 18.93,Thu - Tue : 7:00 PM - 11:00 PM,4.5,406,"September 30, 2019",19,5.98,18.93,September 30, 2019,Cheap,Excellent
Deliranto,"Llevant, 7, 43840 Salou Spain", PortAventura,"Spanish, Contemporary",79.72 - 149.48,"Tue - Sat : 8:30 PM - 9:30 PM
Thu - Sat : 1:30 PM - 2:30 PM",4.5,227,"October 11, 2021",20,79.72,149.48,October 11, 2021,Average,Excellent
Ristorante Pizzeria Da Francesco,"Carrer De Girona 7 Antes Se Llamaba la Cantina Italiana, 43840 Salou Spain", PortAventura,"Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian",9.96 - 14.95,"Tue - Sun : 12:30 PM - 4:00 PM,  7:30 PM - 11:30 PM",4.5,577,"August 6, 2021",24,9.96,14.95,August 6, 2021,Cheap,Excellent
Restaurant Cook and Travel,"Carrer de Llevant, 5, 43840 Salou Spain", PortAventura,"European, Asian, Fusion",24.91 - 59.8,"Sun - Thu : 8:00 PM - 11:00 PM
Tue - Sun : 1:00 PM - 3:30 PM
Fri - Sat : 8:00 PM - 10:30 PM",4.5,731,"February 18, 2020",23,24.91,59.8,February 18, 2020,Average,Excellent
O Xantar Mediterraneo,"Carrer de Bilbao, 3 Bajos B, 43840 Salou Spain", PortAventura,"Mediterranean, Healthy, Seafood, Catalan",19.93 - 49.83,Thu - Sun : 1:00 PM - 4:00 PM,4.5,1237,"October 25, 2019",28,19.93,49.83,October 25, 2019,Average,Excellent
Thai Salou Restaurant by Sai Jai,"Carrer de Barbastre 13 Local 2, 43840 Salou Spain", PortAventura,"Asian, Thai, Healthy",9.96 - 29.89,"Tue - Sun : 1:00 PM - 4:00 PM
Tue - Sat : 8:00 PM - 10:00 PM",4.5,481,"August 19, 2021",30,9.96,29.89,August 19, 2021,Cheap,Excellent
Olivers Restaurant Salou,"Calle Mayor 68 Salou 43840, 43840 Salou Spain", PortAventura,"Steakhouse, European, British, Grill, Gastropub, International",4.99 - 22.92,"Fri - Sun : 1:00 PM - 4:00 PM,  7:00 PM - 11:00 PM",4.5,1736,"January 5, 2022",27,4.99,22.92,January 5, 2022,Cheap,Excellent
S'Oficina,"Carrer Begonies, 17, 07817 Playa d&#39;en Bossa, Ibiza Spain", Castell de Eivissa,"Mediterranean, Spanish",29.89 - 59.8,"Tue - Sun : 1:30 PM - 4:00 PM
Tue - Sat : 8:30 PM - 11:59 PM",4.5,24,"September 3, 2021",22,29.89,59.8,September 3, 2021,Average,Excellent
Cafe' Le Vele...sapori di Mare,"Carrer de Porreres n. 13 Playa d'en bossa, 07830, Ibiza Town, Ibiza Spain", Castell de Eivissa,"Italian, Cafe, Mediterranean",6.18 - 35.33,Sun - Sat : 7:00 AM - 4:00 AM,4.5,17,"August 15, 2014",45,6.18,35.33,August 15, 2014,Cheap,Excellent
Haus Restaurant & Bar,"Avenida Matutes Noguera 87, 07800, Ibiza Spain", Castell de Eivissa,"Sushi, Contemporary, Fusion",24.91 - 39.86,Sun - Sat : 9:00 AM - 11:00 PM,4.5,8,"December 9, 2021",11,24.91,39.86,December 9, 2021,Average,Excellent
Madrugada Café Ibiza,"Calle de Joan Planells 8, 07800, Ibiza Spain", Castell de Eivissa,European,14.95 - 149.48,"Mon - Wed : 9:00 AM - 8:00 PM
Thu - Fri : 9:00 AM - 10:00 PM
Sat : 9:00 AM - 3:00 PM",5.0,5,"October 5, 2018",60,14.95,149.48,October 5, 2018,Average,Excellent
Svenska Kyrkan,"Paseo Maritimo 5 Calle el Coronel 10, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Bar, Cafe, European, Pub, Swedish",2.0 - 8.97,Sun - Sat : 10:00 AM - 3:00 PM,4.5,5,"December 29, 2021",60,2.0,8.97,December 29, 2021,Cheap,Excellent
Vino Vidi Vici,"Avenida de San Francisco 6 La Pepa Foodmarket, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Spanish, Wine Bar",1.76 - 45.05,"Wed - Fri : 5:00 PM - 12:00 AM
Sat - Sun : 1:00 PM - 12:00 AM",5.0,5,"September 22, 2021",97,1.76,45.05,September 22, 2021,Cheap,Excellent
Vitaminas,"Avenida V Centenario Edificio Las Terrazas, 38650 Playa de las Americas, Arona, Tenerife Spain", Los Cristianos Harbour,"Bar, Cafe, Healthy, European, Fast Food, International, Mediterranean",2.0 - 8.97,"Mon - Fri : 7:00 AM - 9:00 PM
Sat : 7:00 AM - 5:00 PM",3.5,16,"March 9, 2021",52,2.0,8.97,March 9, 2021,Cheap,Average
Bahia grill,"C.C. Bahia Feliz Local b25-26-27, 35100 Bahia Feliz, Gran Canaria Spain", Playa de Maspalomas,"Mediterranean, European, Spanish, International",4.99 - 18.93,Sun - Sat : 11:00 AM - 11:00 PM,4.0,375,"January 14, 2022",4,4.99,18.93,January 14, 2022,Cheap,Excellent
La Venus de Pepe,"Calle Ciutat de Reus 4, 43840 Salou Spain", PortAventura,"Italian, Mediterranean, European, Spanish",14.95 - 29.89,Wed - Mon : 1:00 PM - 11:45 PM,4.5,283,"November 13, 2019",37,14.95,29.89,November 13, 2019,Average,Excellent
La Tortillita,"Carrer d'Escaladei, 2, 43840 Salou Spain", PortAventura,"Mediterranean, European, Spanish, Catalan",7.97 - 14.95,"Sun : 11:30 AM - 3:30 PM,  7:30 PM - 10:30 PM
Thu - Sat : 11:30 AM - 4:00 PM,  7:30 PM - 11:00 PM",4.5,342,"September 17, 2020",33,7.97,14.95,September 17, 2020,Cheap,Excellent
The Cotton Club Restaurant & Cocktails,"Calle Bilbao 6, 43840 Salou Spain", PortAventura,"Mediterranean, European, Spanish, Healthy",7.97 - 39.86,Sun - Sat : 11:00 AM - 12:00 AM,4.5,1285,"September 1, 2019",38,7.97,39.86,September 1, 2019,Cheap,Excellent
Restaurante Club Náutico Salou,"C/ Espigón del muelle S/N Tarragona, 43840 Salou Spain", PortAventura,"Seafood, Mediterranean, European, Spanish, Catalan, Fusion",24.91 - 44.84,"Sun - Sat : 1:00 PM - 3:30 PM
Fri - Sat : 8:00 PM - 10:30 PM",4.5,229,"February 16, 2020",43,24.91,44.84,February 16, 2020,Average,Excellent
Tahiti,"Carles Buigas, 9, 43840 Salou Spain", PortAventura,"Mediterranean, European, Spanish, Catalan",7.97 - 19.93,"Sun - Sat : 12:30 PM - 4:30 PM,  6:30 PM - 11:30 PM",4.5,471,"July 15, 2021",41,7.97,19.93,July 15, 2021,Cheap,Excellent
Boca Boca,"Zaragoza Num.13 Street, 43840 Salou Spain", PortAventura,"Italian, Bar, Mediterranean, European, Spanish, Central European",9.96 - 19.93,Sun - Sat : 9:00 AM - 3:30 AM,4.0,1646,"November 5, 2021",44,9.96,19.93,November 5, 2021,Cheap,Excellent
O Mar Restaurant,"Carles Buigas 29-31-33, 43840 Salou Spain", PortAventura,"Seafood, Mediterranean, European, Spanish, Healthy",10.96 - 39.86,"Wed : 1:00 AM - 12:00 AM
Thu - Sun : 1:00 AM - 4:00 AM
Thu - Sat : 8:00 AM - 12:00 AM",4.5,685,"November 5, 2021",42,10.96,39.86,November 5, 2021,Cheap,Excellent
Altaglio,"Carrer de ponent, 4, 43840 Salou Spain", PortAventura,"Italian, Pizza, Mediterranean, European",0.03 - 0.06,"Sun - Thu : 10:00 AM - 10:00 PM
Fri - Sat : 10:00 AM - 11:00 PM",4.5,159,"July 29, 2019",50,0.03,0.06,July 29, 2019,Cheap,Excellent
El Trasto Taberna,"Autovia Salou Tarragona 6 Autovia Salou Tarragona 6, local 11, 43840 Salou Spain", PortAventura,"Bar, Spanish, Catalan",5.98 - 19.93,Thu - Tue : 12:00 PM - 12:00 AM,4.5,361,"September 16, 2019",46,5.98,19.93,September 16, 2019,Cheap,Excellent
Poc a Poc,"43840 C/ Virgen Del Pilar 9, 43840 Salou Spain", PortAventura,"Belgian, European, Spanish, Mediterranean",5.98 - 24.91,Sun - Sat : 12:00 AM - 11:59 PM,4.5,318,"October 13, 2021",1,5.98,24.91,October 13, 2021,Cheap,Excellent
Restaurante El Galeón,"Vía Roma, 26, 43840 Salou Spain", PortAventura,"Seafood, Mediterranean, Spanish, Healthy, Catalan",19.93 - 34.88,"Tue : 1:00 PM - 5:00 PM
Wed - Sun : 1:00 PM - 4:00 PM
Wed - Sat : 8:00 PM - 11:30 PM",5.0,68,"July 24, 2020",55,19.93,34.88,July 24, 2020,Average,Excellent
4R Gastrobar,"Calle Amposta, 2-6, 43840 Salou Spain", PortAventura,"Mediterranean, Spanish, Healthy, European, Contemporary",9.96 - 34.88,"Sun - Sat : 9:00 AM - 5:00 PM
Fri - Sat : 8:00 PM - 11:00 PM",4.5,190,"September 3, 2019",57,9.96,34.88,September 3, 2019,Cheap,Excellent
Tropical Fusion,"Av. de Carles Buigas, 39, 43840 Salou Spain", PortAventura,"Japanese, Mediterranean, European, Asian, Fusion, Spanish",14.95 - 49.83,Fri - Sat : 5:00 AM - 12:30 PM,4.5,215,"September 22, 2019",1,14.95,49.83,September 22, 2019,Average,Excellent
Meguinez,"Calle San Sebastian 4, 29650, Mijas Spain", Los Boliches,"Mediterranean, European, Spanish, Fusion",9.96 - 21.93,Sun - Sat : 11:00 AM - 11:00 PM,4.0,386,"January 13, 2022",23,9.96,21.93,January 13, 2022,Cheap,Excellent
Vila Café,"Plaza Del Parque, 2, 07800, Ibiza Town, Ibiza Spain", Castell de Eivissa,"International, French, German, Bar, Spanish, Pub",4.99 - 19.93,Sun - Sat : 11:30 AM - 3:00 AM,3.5,35,"September 20, 2021",8,4.99,19.93,September 20, 2021,Cheap,Average
La Punta Yacht Club,"Puerto Deportivo Pasito Blanco, 35106, San Bartolome de Tirajana, Gran Canaria Spain", Playa de Maspalomas,"Mediterranean, European, Spanish, International",5.3 - 17.66,"Sun - Thu : 11:00 AM - 10:00 PM
Fri - Sat : 11:00 AM - 11:00 PM",4.0,90,"December 24, 2020",37,5.3,17.66,December 24, 2020,Cheap,Excellent
The Indian Curry House,"Calle/josep Carner 15-17,local 3 Next to The Michleangelo, 43840 Salou Spain", PortAventura,Indian,9.96 - 39.86,"Mon : 6:00 PM - 11:30 PM
Tue - Sun : 1:00 PM - 11:30 PM",4.5,96,"July 1, 2021",64,9.96,39.86,July 1, 2021,Cheap,Excellent
Pizzeria Goretti,"Passeig Jaume l,14, 43840 Salou Spain", PortAventura,"Italian, Pizza, Mediterranean, European, Spanish",0.06 - 0.15,Sun - Sat : 11:00 AM - 11:00 PM,4.0,1011,"October 23, 2021",62,0.06,0.15,October 23, 2021,Cheap,Excellent
The Corra Linn,"c/Paris 5, 43840 Salou Spain", PortAventura,"Bar, British, Pub, Scottish, International",3.54 - 15.9,Sun - Sat : 10:00 AM - 2:00 AM,4.5,170,"July 30, 2021",68,3.54,15.9,July 30, 2021,Cheap,Excellent
Asador las Brasas,"Via Augusta 32, 43840 Salou Spain", PortAventura,"Steakhouse, Mediterranean, Barbecue, European, Spanish",24.91 - 44.84,"Sun - Sat : 1:00 PM - 4:00 PM
Tue - Sun : 8:30 PM - 11:00 PM",4.5,266,"September 23, 2018",9,24.91,44.84,September 23, 2018,Average,Excellent
Mind & Travel by Cook and Travel,"Carrer de Llevant, 5 Sala especial de Cook&Travel, 43840 Salou Spain", PortAventura,"Mediterranean, Spanish, Fusion",97.16 - 132.49,"Tue - Sun : 1:30 PM - 2:30 PM
Tue - Sat : 8:00 PM - 10:00 PM",5.0,35,"December 8, 2021",79,97.16,132.49,December 8, 2021,Average,Excellent
JangtzeII chinese restaurant,"C.C Bazar,B38 & 39, 35100 Bahia Feliz, Gran Canaria Spain", Playa de Maspalomas,"Chinese, Asian",6.97 - 14.95,Sun - Sat : 12:00 PM - 11:00 PM,4.5,69,"January 19, 2019",5,6.97,14.95,January 19, 2019,Cheap,Excellent
La Finezza,"Barcelona 43 Local 2, 43840 Salou Spain", PortAventura,"Italian, Mediterranean, European",8.97 - 15.95,"Mon - Fri : 7:30 AM - 11:30 PM
Sat : 8:00 AM - 11:30 PM",4.5,162,"May 16, 2019",8,8.97,15.95,May 16, 2019,Cheap,Excellent
Restaurante Castillo de Javier,"Carles Buigas, 29, 43840 Salou Spain", PortAventura,"Mediterranean, European, Spanish, Italian, Japanese",26.91 - 69.76,"Sun - Sat : 1:00 PM - 4:00 PM,  8:00 PM - 11:00 PM",4.0,460,"October 29, 2019",82,26.91,69.76,October 29, 2019,Average,Excellent
Maradona,"Calle Brusselles 6, 43840 Salou Spain", PortAventura,"Bar, Mediterranean, European, Spanish, Catalan",9.96 - 29.89,Sun - Sat : 9:00 AM - 3:00 AM,4.0,210,"September 23, 2019",22,9.96,29.89,September 23, 2019,Cheap,Excellent
Moonlight Restaurant,"Calle Major, 61, 43840 Salou Spain", PortAventura,Bar,4.99 - 9.96,Sun - Sat : 12:00 AM - 11:59 PM,4.5,84,"October 20, 2019",23,4.99,9.96,October 20, 2019,Cheap,Excellent
Oriental Dream Restaurant,"Avenida Antonio Dominguez 9 Residencia el Camison Local 1-2, 38660, Tenerife Spain", Los Cristianos Harbour,"Chinese, Japanese, Asian, Thai, Fusion",9.96 - 19.93,"Sun - Sat : 1:00 PM - 4:00 PM,  6:30 PM - 11:30 PM",4.5,6,"August 9, 2019",9,9.96,19.93,August 9, 2019,Cheap,Excellent
Venta La Buleria,"Calle Lucila Barrios N°1, 38650 Los Cristianos, Arona, Tenerife Spain", Los Cristianos Harbour,"Mediterranean, Spanish",9.96 - 29.89,"Sun - Sat : 9:00 AM - 11:00 PM
Tue : 12:00 AM - 3:00 AM",5.0,4,"May 16, 2021",105,9.96,29.89,May 16, 2021,Cheap,Excellent
Bar Es Pratet,"Pedro Frances, 07800, Ibiza Spain", Castell de Eivissa,"Cafe, Italian",14.95 - 27.91,"Mon - Fri : 1:00 PM - 10:30 PM
Sat : 1:00 PM - 11:00 PM",4.0,12,"January 3, 2019",55,14.95,27.91,January 3, 2019,Average,Excellent
Sabris Burger,"Carrer De Porreres 10, 07817 Sant Jordi de ses Salines, Sant Josep de Sa Talaia, Ibiza Spain", Castell de Eivissa,"Bar, Fast Food",2.99 - 29.89,"Sun - Sat : 1:00 PM - 4:00 PM,  6:00 PM - 11:00 PM",5.0,16,"October 18, 2020",3,2.99,29.89,October 18, 2020,Cheap,Excellent
El Taller Seve Díaz,"Calle San Felipe 32, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish, Healthy, Contemporary, Fusion",29.89 - 84.7,"Wed - Sun : 7:00 PM - 11:00 PM
Sat - Sun : 1:00 PM - 3:00 PM",5.0,1057,"January 27, 2022",1,29.89,84.7,January 27, 2022,Average,Excellent
Indian Express,"Calle Esquivel 18, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Indian, Asian, Balti",5.98 - 49.83,Wed - Mon : 1:00 PM - 10:30 PM,5.0,706,"January 27, 2022",4,5.98,49.83,January 27, 2022,Cheap,Excellent
Casa Mediterranea,"Located In The Center Of Puerto De La Cruz, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Latin, Mediterranean, European, Spanish, Healthy, Argentinean",2.99 - 35.88,"Sun : 6:30 PM - 9:30 PM
Mon : 6:30 PM - 10:00 PM
Wed - Thu : 6:30 PM - 10:00 PM
Thu - Sun : 1:00 PM - 3:30 PM
Fri - Sat : 6:30 PM - 10:30 PM",4.5,848,"January 15, 2022",3,2.99,35.88,January 15, 2022,Cheap,Excellent
Bambi Gourmet,"Calle Enrique Talg 15 Under apartments Bambi Astoria, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, Spanish, International",24.91 - 44.84,"Tue - Sat : 1:00 PM - 4:00 PM,  7:00 PM - 11:00 PM",4.5,1428,"January 23, 2022",7,24.91,44.84,January 23, 2022,Average,Excellent
Ihuey Tasca,"Calle de San Felipe 34, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Mediterranean, European, Spanish, Contemporary",29.89 - 39.86,"Wed - Fri : 7:00 PM - 10:30 PM
Sat - Sun : 1:30 PM - 3:30 PM,  7:30 PM - 10:30 PM",4.5,733,"January 5, 2022",5,29.89,39.86,January 5, 2022,Average,Excellent
Indian Crown Tandoori,"Avenida Familia de Betancourt y Molina nº 26, 38400 Puerto de la Cruz, Tenerife Spain", Loro Parque,"Indian, Asian, Healthy",14.95 - 24.91,Sun - Sat : 1:00 PM - 11:30 PM,5.0,411,"January 25, 2022",2,14.95,24.91,January 25, 2022,Average,Excellent
