Business Name,Average rating,Number of reviews,Rating Label
Café Bar Corilla,4.5,8,Excellent
Pizzaiolo,4.5,28,Excellent
Restaurant Cal Sogre,4.0,69,Excellent
Restaurante Giardino Puerto de Alcudia,3.5,20,Average
"Restaurante Fonda Llabres, since 1957",3.5,91,Average
el Cable,4.0,663,Excellent
Pierre Sitges,4.5,209,Excellent
La Nansa,4.0,435,Excellent
Spice Garden,4.5,166,Excellent
Restaurante Vives,4.0,124,Excellent
Eetcafe Terras de Molen,5.0,16,Excellent
Timo´s,4.5,134,Excellent
Restaurante Hotel Casa Vilella,4.5,148,Excellent
Restaurant El Xalet,4.5,304,Excellent
Fragata,4.0,1731,Excellent
Bar Bodega La Mezquita,4.0,60,Excellent
Bistro Kings,4.5,25,Excellent
Il Brigantino,4.0,134,Excellent
MarBlanc - Birra&Food,4.5,5,Excellent
Dosa Nova,4.5,111,Excellent
Big Al's American Kitchen,4.5,1843,Excellent
13 Llunes,4.5,259,Excellent
Massimo Ristorante Pizzeria,5.0,56,Excellent
Soi 33,4.5,292,Excellent
La Robata De Gohan,4.5,11,Excellent
Melassa Restaurant & Lounge,3.5,36,Average
The Beach House,4.0,1407,Excellent
Panxos Cantina Mexicana - Taquería,4.5,13,Excellent
Restaurant Tennis Canyelles,4.5,16,Excellent
delicious Lounge Bar,5.0,15,Excellent
Single Fin Sagrada Familia Poke Gourmet,5.0,128,Excellent
Pura Vida Cocktails,4.5,767,Excellent
Tropik juice bar,5.0,4,Excellent
Indian Herbs,5.0,83,Excellent
Sartoria Panatieri Gràcia,4.5,205,Excellent
Restaurante Marisqueria Dopazo,4.5,156,Excellent
Kook,4.5,589,Excellent
El Tastet de L'Artur,4.5,424,Excellent
Narciso,5.0,288,Excellent
BRO Room,4.5,356,Excellent
Bodega Biarritz,5.0,4349,Excellent
The Rooftop at Sir Victor,5.0,167,Excellent
Bardeni el Meatbar - Caldeni,4.5,304,Excellent
La Terrasse,3.5,86,Average
Beach Bar Balneario 3,3.5,35,Average
Arrieta 32,4.5,13,Excellent
La Tabla De Sitges,4.5,291,Excellent
Chai Indian Restaurant,4.0,525,Excellent
Comptoir Francais,4.5,125,Excellent
La Taberna del Puerto,4.0,612,Excellent
Ka'n kune,4.0,5,Excellent
Lavanda,4.5,10,Excellent
Vivero Beach Club Restaurant,4.0,1488,Excellent
Local Sitges,4.5,125,Excellent
Mare Nostrum,4.0,435,Excellent
Morelia Sitges,4.5,114,Excellent
"La Tagliatella Paseo Marítimo, Sitges",4.0,491,Excellent
El Noi d'Alcoi Sitges,4.5,69,Excellent
Primopiatto Italiano,4.5,96,Excellent
El Jamón II,5.0,8,Excellent
La Zorra,4.0,536,Excellent
Restaurante Puravida,4.0,217,Excellent
Restaurant-Braseria Tango Beach,5.0,9,Excellent
El Cafe de la Plata,4.0,213,Excellent
Cochran's Terrace Bar,3.5,560,Average
Restaurante GranPasso,5.0,5,Excellent
Da Santo,3.5,47,Average
Le Bistro Restaurante Pizzería,4.5,7,Excellent
Mahalo Poké Nerja,4.0,9,Excellent
Kuletos,4.0,280,Excellent
Tango Grill,4.5,92,Excellent
Tiramisu Cafeteria Pasteleria,5.0,4,Excellent
Jara Sushi Take Away,5.0,216,Excellent
Uma,5.0,1130,Excellent
Belleville,5.0,49,Excellent
aQistoi,4.5,921,Excellent
Cal Trapella - Cuina de Mercat,5.0,267,Excellent
La Terraza del Claris,4.5,376,Excellent
Brugarol Barcelona,5.0,315,Excellent
EatMyTrip - Brunch & Bakery Barcelona,4.5,607,Excellent
Gallo Nero,5.0,363,Excellent
Restaurante Loto,5.0,150,Excellent
La Deliciosa,4.5,2025,Excellent
Spark,4.5,284,Excellent
Sentir Nerja,5.0,5,Excellent
The Bridge Restaurant,3.0,37,Average
Bahia Natal S.L,4.0,3,Excellent
Esenciasnailsbar,5.0,1 review,Excellent
La Clandestina,5.0,55,Excellent
Blaudemar Chill Out & Lounge,5.0,1 review,Excellent
Miramar Sitges,4.0,221,Excellent
Sushi 1 Sitges,4.5,71,Excellent
Restaurante Can Luck,5.0,6,Excellent
Cafetería Clarés,5.0,33,Excellent
Solivins,4.0,30,Excellent
L'arca d'en Peter,3.5,241,Average
Cinnamon,5.0,21,Excellent
Corazon de Agave,4.0,158,Excellent
L'Avinyet,4.0,151,Excellent
Antic Restaurante,4.5,9,Excellent
Beso Sitges,3.5,299,Average
Little Fern,4.5,95,Excellent
Fujiumi Elviria,5.0,119,Excellent
Alberts Cabopino,4.0,1082,Excellent
Bo Kaap,4.5,799,Excellent
Viana,5.0,4724,Excellent
Spoonik,4.5,617,Excellent
Arcadia,4.0,23,Excellent
Tucco Real Food Born,4.5,1433,Excellent
Anauco,4.5,879,Excellent
Raó Restaurant,5.0,1580,Excellent
Vivant,4.5,861,Excellent
Sumac & Mambo,5.0,339,Excellent
Restaurante La Estrella,4.5,405,Excellent
La Foga,4.5,976,Excellent
Chill Bar Barcelona,4.5,1018,Excellent
Restaurant Montiel,4.5,2531,Excellent
ELS TRES PORQUETS,4.0,394,Excellent
Bar Restaurante La Llesca,4.5,316,Excellent
Restaurant Pau Claris 190,4.5,875,Excellent
Le Romane,5.0,2013,Excellent
Patagonia Beef & Wine,4.5,2059,Excellent
Bocca di Bonifacio,4.5,338,Excellent
La Patsa Lab,5.0,1670,Excellent
Restaurante Nina Bonita,4.0,112,Excellent
La Formatgeria de Sitges,4.0,83,Excellent
The Black Bull,4.5,16,Excellent
The Eighth | L'azure Hotel,5.0,3,Excellent
Gazao,4.5,43,Excellent
El Rebalaje de Mijas,3.5,155,Average
Montroig Cafe,3.5,632,Average
Rosario Restaurante,4.0,125,Excellent
La Traviata,3.0,289,Average
Papaya Loca Café - Cocktail Bar,5.0,16,Excellent
Restaurant El Tros,4.0,57,Excellent
Casa Tecla,4.0,342,Excellent
Bar Rusinol Sitges,4.5,28,Excellent
Bartomeu,5.0,13,Excellent
Sa Plaça Restaurante,2.5,426,Poor
"""L'Opera Bistro Sitges",4.5,40,Excellent
LA PIZZERIA DEL PUERTO,3.5,331,Average
Restaurante Kinkao Thailandia,4.5,29,Excellent
Istanbul Kebab House Las Galletas,5.0,15,Excellent
El Pintoresco,4.5,29,Excellent
Jaime`s Bar,5.0,1 review,Excellent
Pub Obelix Plaza,5.0,1 review,Excellent
Cafetería Albi Burriana,3.0,42,Average
Pizzeria Da Nanni Tallers,5.0,147,Excellent
mantura tapes asiàtiques i vins,4.5,320,Excellent
Señor Piña Secret Garden,5.0,119,Excellent
Orvay,4.5,207,Excellent
Restaurante Lasarte,4.5,1087,Excellent
Chiringuito Moreno,3.0,472,Average
Tosca Palau,4.5,2543,Excellent
Arcano,4.5,3571,Excellent
Salitre Barcelona,4.5,107,Excellent
Manairo,4.5,580,Excellent
The Box,4.5,1085,Excellent
El Bel'gusto,5.0,7,Excellent
San Jordi Restaurant,4.0,5,Excellent
Restaurante Ugolok,4.0,4,Excellent
Wylie Sitges Craft Beer & Food,5.0,17,Excellent
Bar La Guineu,3.5,211,Average
Restaurante Japones Aki,4.0,68,Excellent
Wylie Brewery,5.0,20,Excellent
Village Inn,4.5,35,Excellent
Restaurante Iris Gallery,4.0,78,Excellent
Yamuna Sitges,3.5,382,Average
Restaurante El lago,4.5,505,Excellent
Los Vikingos,3.5,689,Average
Restaurante Cap de La Vila,3.5,317,Average
Rialto Bar Diner,4.5,16,Excellent
Piolindo,3.5,5,Average
L'Actiu Restaurant,4.5,124,Excellent
The Pan's Club,4.5,361,Excellent
Casa Angela,4.5,316,Excellent
Restaurante El Palomo Cojo,4.5,174,Excellent
Oria Restaurant,4.5,948,Excellent
Teddy's Barcelona,5.0,894,Excellent
Terrazza Ravello,4.5,814,Excellent
El Salon,4.5,791,Excellent
Blavis,5.0,863,Excellent
Bodega Colibri,4.5,406,Excellent
Ziryab Fusion Tapas Bar,4.5,1352,Excellent
Tino - esto no es una pizzeria,5.0,118,Excellent
Piazza Grande,4.5,222,Excellent
Restaurant Ají,4.5,319,Excellent
Bistro Helena,4.5,1107,Excellent
Pizza Pazza,4.5,656,Excellent
Fazz's Indian Restaurant,5.0,1 review,Excellent
Bar Cafeteria Buffet Julia,5.0,1 review,Excellent
Niji Bar,5.0,6,Excellent
Restaurante La Bodeguita,4.5,11,Excellent
Acqua Sitges,3.5,72,Average
Les Picardies Del Cocula,4.0,19,Excellent
Albamar Restaurant,3.0,85,Average
Bonanza Sitges,3.5,146,Average
Sabrinas Cafe,5.0,6,Excellent
Restaurante La Era,5.0,10,Excellent
SENS DU VIN,5.0,8,Excellent
El Xiringo,4.5,399,Excellent
Sala 1625,4.5,270,Excellent
Story,4.5,275,Excellent
Entre Hores,4.5,214,Excellent
Arpit,4.5,520,Excellent
Acces,4.5,2711,Excellent
Firebug,4.5,529,Excellent
Musiu,4.5,352,Excellent
Medina,4.5,109,Excellent
Tapeo Born,4.5,3157,Excellent
Mimo's Born,4.5,408,Excellent
Oven mozzarella Las Tablas,4.5,932,Excellent
Meson Barceloneta,4.5,1122,Excellent
Dona Rosa,4.5,887,Excellent
La Garriga,4.5,358,Excellent
maccaroni,4.5,597,Excellent
Pasa Tapas,4.5,544,Excellent
Maye's Bistro Las Tablas,4.5,295,Excellent
Bar Rodrigo,4.5,1069,Excellent
El Rincón De Los Artistas,5.0,2,Excellent
Sitges Soul Food Co.,4.5,9,Excellent
Restaurant Marsol,3.0,151,Average
TrocaGlops,5.0,4,Excellent
Federal Café Sitges,3.5,28,Average
Bar del Park,4.0,8,Excellent
L'Antic Bocoi del Gotic,4.5,993,Excellent
Bar Centro Burgers & Craft Beer,4.5,652,Excellent
Granja Primavera,4.5,159,Excellent
Tropicana,5.0,2916,Excellent
La Catrina Fusion,4.5,246,Excellent
Les Finestres de Lluria,4.5,324,Excellent
Beefcious Las Tablas,4.0,466,Excellent
Crudo Bar,4.5,1043,Excellent
Taberna Quinto Tramo,5.0,875,Excellent
Vegetalia Born,4.5,1189,Excellent
Las Tablas Restaurante,5.0,236,Excellent
El Casal,4.5,983,Excellent
KÜTRAL,5.0,164,Excellent
Siempre Igual,4.5,1388,Excellent
La Tartareria · Raw food ·,5.0,199,Excellent
Cellarer Wine Bar,5.0,295,Excellent
Pirineu en Boca,4.5,365,Excellent
El Tiet Taver-Teca Taverna Gastronomica,4.5,353,Excellent
La Abacería de Ronda,5.0,231,Excellent
Bifana Bar,5.0,133,Excellent
Restaurante Bardal,5.0,310,Excellent
Wine Mood,5.0,365,Excellent
Buon Appetito,4.5,854,Excellent
Puerta Grande,4.5,1294,Excellent
Chaka Khan,5.0,2214,Excellent
Casa Carmen,4.5,338,Excellent
Tapas Bar La Niña Adela,4.5,484,Excellent
Jobs Restaurant,5.0,230,Excellent
"La Tagliatella C.C. Diagonal Mar, Barcelona",3.5,688,Average
Panorámico Restaurant,4.5,392,Excellent
Carmen la de Ronda,4.5,595,Excellent
Pizzeria Michelangelo,4.5,338,Excellent
La Piramide,4.5,216,Excellent
Taberna El Almacen,4.5,461,Excellent
Restaurante Azahar,4.5,552,Excellent
El Indiano Restaurant,3.0,126,Average
redbar Sitges,3.0,52,Average
Futballarium Barcelona,4.5,545,Excellent
Lab Restaurant,5.0,275,Excellent
Olivos Comida y Vinos,5.0,213,Excellent
Restaurante alBalat,5.0,731,Excellent
Aqui Quedamos,4.5,279,Excellent
La Parrilla,5.0,101,Excellent
Restaurante Homarus,4.5,418,Excellent
La Gastronomica Burgers,5.0,1276,Excellent
Brunch & Bakery,5.0,186,Excellent
Bordeaux - Cuina Oberta,4.5,331,Excellent
Sibuya Urban Sushi Bar Cáceres,4.5,294,Excellent
Mastropiero Gastrobar y Jardín,4.5,949,Excellent
Tápara,4.5,535,Excellent
Atrio Restaurante,4.5,1432,Excellent
Al-Zahrà Arabian Food,5.0,104,Excellent
b Restaurant,5.0,142,Excellent
madruelo,4.5,517,Excellent
Perhaps Tapería,4.5,1267,Excellent
La Vita e Bella,4.0,376,Excellent
Bar Restaurante Casa Lourdes,5.0,65,Excellent
Dal Presidente Bar,5.0,185,Excellent
La Tere Gastrobar,4.5,340,Excellent
Eustaquio Blanco,4.5,588,Excellent
Mistela Tu Co-zina,4.5,253,Excellent
La esencia extremeña,4.5,422,Excellent
Bodega San Francisco,4.0,1047,Excellent
Taps,4.5,1086,Excellent
EL Mirador de Galarza,4.5,400,Excellent
Restaurante-Taperia Santisteban,4.5,114,Excellent
Bar Restaurante La Bodega,4.5,82,Excellent
Oquendo,4.5,345,Excellent
Bar El Convento,4.5,124,Excellent
Il Forno a Legna,4.0,307,Excellent
Bouquet Taperia Restaurante,4.5,1040,Excellent
La Maestra,4.5,103,Excellent
Restaurante Abrasador la Carreta,4.0,323,Excellent
Gilda by Belgious,4.5,1406,Excellent
Kundan Indian Restaurant by Joshi,4.0,157,Excellent
Havoc Café,4.5,182,Excellent
Tapería La Tía Tula,4.0,874,Excellent
Quereles,4.5,220,Excellent
Restaurante Casa Ortega,4.0,1087,Excellent
Intrepid De Gracia,4.5,359,Excellent
Carabela Café,4.5,486,Excellent
Ryu Ramen,4.5,86,Excellent
Casa Pedro,4.5,311,Excellent
Mayura,4.0,1159,Excellent
Onofre,4.5,299,Excellent
Milk Bar & Bistro,4.5,2682,Excellent
Ándele París,5.0,677,Excellent
Jamon y vino,4.0,812,Excellent
Maro Azul,4.5,90,Excellent
Tutu Vietnamese Cuisine,4.5,158,Excellent
Tucco Real Food Eixample,5.0,339,Excellent
LeccaBaffi,4.5,376,Excellent
Sushi Samurai,4.5,62,Excellent
Bodega Vasconia,4.5,1487,Excellent
Anita Flow,5.0,1911,Excellent
La Gastronómica,5.0,341,Excellent
Restaurante Addis Abeba,4.5,935,Excellent
Andele Santa Fe,4.5,294,Excellent
IAKNI,5.0,109,Excellent
Abanik Bar,5.0,315,Excellent
Cocina Hermanos Torres,4.5,283,Excellent
La Mundana,4.5,642,Excellent
Restaurante Can Fuste,4.5,448,Excellent
PolkaBar,5.0,105,Excellent
Kobuta Ramen i més,4.5,110,Excellent
La Caleta de Sants,4.5,466,Excellent
Mo Te Magno,4.5,421,Excellent
La Pimpa Pizzeria,4.5,310,Excellent
Daneku Ecologico Restaurante,4.0,75,Excellent
Caelis,4.5,1055,Excellent
A La Brassa,4.0,221,Excellent
Restaurante La Fuente de la Higuera,5.0,65,Excellent
Ca L' Andreu,4.5,330,Excellent
Luigi Ristorante,4.5,1383,Excellent
"New Street Grill, Ronda",5.0,37,Excellent
La Paradeta Meridiana,4.0,119,Excellent
El Rincón de la Abuela Venezolana,4.0,332,Excellent
BBT otra Ronda,4.5,41,Excellent
Newen Restobar,4.5,65,Excellent
Puerta de Merida,4.0,210,Excellent
Restaurante La Maltraviesa,4.5,108,Excellent
La Picanteria de l'Escribà,4.0,185,Excellent
Ascent Restaurant,4.5,415,Excellent
Somewhere Aribau,4.5,349,Excellent
Espai Gastronomic Juan Carlos Navarro,5.0,67,Excellent
"""Miss Sushi Las Tablas Japanese Restaurant",4.0,241,Excellent
Sensi Tapas,4.5,2353,Excellent
Amaltea,5.0,35,Excellent
Kalamata,4.5,97,Excellent
Queen restaurant and lounge,4.0,167,Excellent
Pizzeria Da Nanni BORN,4.5,265,Excellent
Tr3s Restaurante,4.5,25,Excellent
Louro,4.5,958,Excellent
Doña Pakita,4.0,117,Excellent
8 Arte Tapería-Restaurante,4.0,384,Excellent
Las Corchuelas,4.5,69,Excellent
Borona Bistró,5.0,19,Excellent
La Casa del Sol,4.5,52,Excellent
Tast-Ller,4.5,840,Excellent
Arrosseria Las Arenas,4.5,1737,Excellent
La Come Dia,4.5,291,Excellent
Ristorante Meraviglioso,4.5,301,Excellent
Restaurante Kurai,4.5,685,Excellent
Corte & Brasa,4.5,106,Excellent
La Mama Acasa,5.0,102,Excellent
Belchica bistro,5.0,183,Excellent
Cinc Sentits,4.5,1008,Excellent
La Mafia se sienta a la Mesa - CACERES,4.0,153,Excellent
Espacio Mediterraneo,4.5,11,Excellent
La Pruna,4.5,202,Excellent
Dual Cafe,5.0,187,Excellent
Mamma Lucia,4.5,209,Excellent
Orellana Restaurante,4.5,47,Excellent
Asador La Tahona,3.5,275,Average
Kathmandu Tandoori House,5.0,2431,Excellent
Restaurante Goyesca,4.0,207,Excellent
Rasoi,4.5,321,Excellent
Terraza Bar El Castillo,4.0,186,Excellent
Taperia La Majá,4.0,73,Excellent
Restaurante Santisteban,4.0,125,Excellent
Bar La Plata,4.5,764,Excellent
La Cocina de Ikram,5.0,11,Excellent
La Tagliatella Cáceres,3.5,141,Average
El Meson de Fuencarral,4.0,277,Excellent
La Taska,4.5,13,Excellent
Giraffe Brasas,4.5,11,Excellent
Betlem Miscel.lània Gastronomica,4.5,759,Excellent
Eat Caribbean Barcelona,4.5,308,Excellent
Season Restaurant Barcelona,4.5,544,Excellent
"Listo Restaurants, Pizza Pasta Paella Tapas",5.0,132,Excellent
Five Guys,3.5,131,Average
Bodega La Palma,4.5,505,Excellent
9 Reinas Barcelona,4.5,1495,Excellent
Asador Avelino,4.5,301,Excellent
Mastico.,4.5,545,Excellent
Restaurante Fastuc,4.5,135,Excellent
Restaurant MIAN,4.5,541,Excellent
Gurú Food & Cocktails,4.5,1090,Excellent
ELPERE burger,4.0,19,Excellent
La Costilla De Eva,4.5,10,Excellent
La Fusa,3.5,149,Average
Bar Restaurante La Plaza,3.5,75,Average
Delicias De Asaja,4.5,6,Excellent
Demente Zahara,4.0,52,Excellent
Cruix,4.5,524,Excellent
Donizetti,4.5,628,Excellent
Argentinisimo,4.5,631,Excellent
The Fish & Chips Shop,4.5,851,Excellent
Tomasso - New York Pizza,4.5,320,Excellent
L’ Amfora Barcelona,4.5,1927,Excellent
"""Tandoori Nights",4.5,942,Excellent
Pizzeria La Rustica,5.0,14,Excellent
Punta Anguila,4.5,112,Excellent
MonDoré,4.5,737,Excellent
Lew Hoad,4.5,28,Excellent
De Paula L'hamburgueseria del Poble Sec,4.5,277,Excellent
La Piazzetta GranVia,5.0,235,Excellent
Papadam,5.0,368,Excellent
Lascar 74,4.5,417,Excellent
B Burger,4.5,806,Excellent
Restaurante Pasapán,4.5,488,Excellent
Restaurant La Ferreria Des De 1987,4.5,360,Excellent
Restaurante Rokelin Gourmet,4.5,837,Excellent
Sasha Bar 1968,4.5,655,Excellent
La Platilleria,4.5,289,Excellent
Restaurante Panorámico La Postal,4.5,607,Excellent
Restaurante Jose Maria,4.5,6582,Excellent
La Dentellière,4.5,897,Excellent
Pepito Restaurante,4.5,1419,Excellent
Veiga Bar Tapas,4.5,69,Excellent
Bo de Boqueria,4.5,1126,Excellent
Via Veneto,4.5,614,Excellent
El Secreto de San Clemente,4.5,1107,Excellent
Restaurante Claustro De San Antonio El Real,4.5,969,Excellent
El Abasto bcn,4.5,54,Excellent
Casares,4.0,1013,Excellent
Eiffel,4.5,944,Excellent
El Fogon Sefardi Restaurante,4.0,797,Excellent
Restaurante El Bernardino,4.0,1805,Excellent
Haggen Acueducto 25,4.0,531,Excellent
El Timon Del Terraza,4.5,162,Excellent
Camino Bites,4.5,339,Excellent
Lluis de les moles,4.5,403,Excellent
Bar Los Tarines,4.5,134,Excellent
Restaurante Duque,4.0,1453,Excellent
Meson de Candido,4.0,3744,Excellent
Vegetalia Gotico,4.5,1615,Excellent
Deleïte Restaurante,5.0,159,Excellent
Cera 23,4.5,5087,Excellent
Xiloka,5.0,436,Excellent
BENZiNA,4.5,265,Excellent
Agust Gastrobar,4.5,1919,Excellent
Zarautz Taberna Vasca,4.5,818,Excellent
Deja Burg,4.5,210,Excellent
Piazze D'Italia,4.5,1948,Excellent
Garlana,4.5,311,Excellent
Bar Cafetería  La Chana,4.5,4,Excellent
Burguer El Puente,3.5,7,Average
La Casa Puerta,3.5,16,Average
Restaurante Alameda del Tajo,4.5,4,Excellent
Tapería-Restaurante Vulcano,4.0,11,Excellent
Asador El Bandolero,3.5,102,Average
Cafe de Ronda,3.5,41,Average
Les Dues Sicílies,4.5,328,Excellent
Restaurant Embat,4.5,277,Excellent
Txirimiri,4.5,415,Excellent
Buenos Aires Grill Restaurant Eixample,4.5,3355,Excellent
El Rincon del Segoviano,4.0,180,Excellent
Las Mananitas - Tex Mex BCN,4.0,471,Excellent
Restaurante Spaccanapoli Barcelona,4.5,226,Excellent
CTA Zumos,5.0,23,Excellent
The Alchemix,4.5,206,Excellent
La Real Hamburguesería,4.5,243,Excellent
La Bodega del Barbero,3.5,211,Average
Coma RestoBar,4.0,70,Excellent
Informal,4.5,958,Excellent
La Diligencia 35,4.5,44,Excellent
Aralia,3.5,40,Average
LUTE Bar & Bowls,4.5,84,Excellent
Pulpería Can Lampazas,4.0,856,Excellent
Pimienta Rosa: Comida Para Llevar,5.0,1 review,Excellent
Tapioca Café Bar,4.5,2,Excellent
La Tasqueta De Blai,4.5,2755,Excellent
Volta al Món,4.5,553,Excellent
Kappo Barcelona,4.5,261,Excellent
Caramba,4.5,651,Excellent
Bierzo food,4.5,1309,Excellent
A33 Pizzeria,5.0,108,Excellent
Saffron Indian Cuisine,4.5,53,Excellent
El Mirador de la Montana,3.0,35,Average
PIZZA AND BEER,4.5,26,Excellent
Casa Corrochano,4.0,91,Excellent
Convento de Minimos,3.5,183,Average
al punto,3.5,152,Average
El Real Ingenio Chico de segovia,3.5,187,Average
"La Tagliatella CC La Maquinista, Barcelona",3.5,275,Average
Carlota Akaneya,4.5,1338,Excellent
Sabes una cosa,4.5,332,Excellent
Almalibre Açaí House Barcelona,5.0,100,Excellent
Los Bellota,4.0,936,Excellent
Obe Restaurant,4.5,343,Excellent
La Cocina de Segovia,3.5,77,Average
My Way,4.5,2088,Excellent
A Tu Bola,4.5,1391,Excellent
La taberna de lesseps,4.5,239,Excellent
Restaurante Bar Jose,3.5,452,Average
Focacceria Toscana,4.5,587,Excellent
Tlaxcal,4.5,907,Excellent
Martina's Coffee,5.0,9,Excellent
Malaysia,4.5,230,Excellent
Pla de la Garsa,4.5,391,Excellent
The Benedict,4.5,1499,Excellent
Nineteen Restaurant,4.5,290,Excellent
Restaurante Goliard,4.5,320,Excellent
Restaurante El Foro,4.0,1104,Excellent
Restaurante El Olivo,3.5,115,Average
El Panal de la Reina - Restaurante en Mijas,4.5,8,Excellent
The Food Fighters BBQ,5.0,38,Excellent
Taberna El Callejon,4.5,240,Excellent
Boxer Food Cáceres,3.5,19,Average
Bar El Cortijillo,3.0,1 review,Average
Nomm,4.5,337,Excellent
WyCo Restaurants,3.0,6,Average
La Taula,4.5,247,Excellent
Restaurante Arume,4.5,5193,Excellent
La Niña de Mis Ojos,4.5,362,Excellent
La Lubina,4.5,325,Excellent
Tio Joe,4.5,280,Excellent
Restaurante La Taurina,4.0,16,Excellent
A Casa Mia Trattoria,4.5,215,Excellent
Montebola,3.0,18,Average
VIPS Smart Segovia,3.5,62,Average
Chivuo's Gracia Slow Street Food & Craft Beer,4.5,637,Excellent
We Bistrot,4.5,254,Excellent
Taberna Girasol,4.0,28,Excellent
Sushicatessen Segovia,3.5,136,Average
Tosca del Carme,4.5,606,Excellent
Little Bacoa,4.5,664,Excellent
La Calaca,4.5,78,Excellent
Bastaix,4.5,668,Excellent
Restaurant Gut,4.5,1029,Excellent
La Cazuela Barcelona,4.5,21,Excellent
Restaurante Meson Esgo,4.0,14,Excellent
Restaurante El Jardin,3.5,20,Average
La Cuina de Laietana,4.5,459,Excellent
Restaurante Lago,3.5,51,Average
Gaudim Restaurant,4.5,1117,Excellent
Máskbrasas,3.5,16,Average
Solomillo Restaurant,4.5,594,Excellent
Restaurante La Parrilla de Tejadilla,3.5,123,Average
Gustazio Gastrobar,5.0,218,Excellent
Restaurante Casa Hemingway,2.0,75,Poor
Bariloche Taperia&Restaurante,1.0,1 review,Poor
Ca Meua,5.0,106,Excellent
Thai Spicy Restaurante,4.5,194,Excellent
Restaurant Sergi de Meià,4.5,423,Excellent
Gusto,4.5,1726,Excellent
Ramen House Barcelona Izakaya,4.5,560,Excellent
Raco D'en Cesc,4.5,594,Excellent
Beytna Restaurante,5.0,234,Excellent
Osmosis,4.5,1509,Excellent
Lagman Restaurant,4.5,108,Excellent
Restaurante BIBI,4.5,44,Excellent
Pizzart Corner Estación Chamartín,4.5,188,Excellent
FREIA Pastelería,5.0,2,Excellent
Pizzeria Dolce Vita,3.5,67,Average
KJ's Burgers and Fries,5.0,2,Excellent
La Clote del Clot,4.5,162,Excellent
BEMBI,4.5,793,Excellent
La Taberna de l'Eixample Venezolanos,4.5,156,Excellent
Stop & Mos,5.0,61,Excellent
Can Bigotis,4.5,184,Excellent
"""Asador 7 de Julio",4.0,48,Excellent
Restaurant Etapes,4.5,1227,Excellent
Restaurante Nogal,4.0,862,Excellent
Gravin,4.5,541,Excellent
El Dorado Chicken,4.5,651,Excellent
Damasco Arabian Restaurant,4.5,95,Excellent
CocoVail Beer Hall,4.5,529,Excellent
Ristorante Margherita,4.5,2441,Excellent
Bar Restaurante Casa Manuela,3.0,68,Average
Cancha 17,3.0,15,Average
Meraki,4.0,181,Excellent
Revival Cafe,3.0,67,Average
Little TUT,5.0,40,Excellent
Napoletani Restaurant,4.5,599,Excellent
La Balanza,4.5,170,Excellent
Mako,4.5,298,Excellent
Bodega Amposta,4.5,126,Excellent
Santa Ceviche,4.5,243,Excellent
Llamber,4.5,2572,Excellent
Chilango's Taqueria Barcelona,4.5,499,Excellent
Viet Kitchen,4.5,162,Excellent
La Güerita Mexicana,5.0,86,Excellent
Tandoor,4.0,448,Excellent
Restaurant Ca L'Estevet,4.5,528,Excellent
Roots & Rolls,4.5,107,Excellent
Restaurante Contempo,4.5,502,Excellent
Taverna hofmann,4.5,431,Excellent
El Camarote,4.0,73,Excellent
Da Me,4.5,32,Excellent
La Chelinda,4.0,150,Excellent
Ochenta Nextdoor,4.0,88,Excellent
Tras os montes,4.5,325,Excellent
El Oso,3.5,213,Average
MAMA,4.5,197,Excellent
Restaurante Sal Negra,4.5,560,Excellent
Angle Barcelona,4.5,645,Excellent
Tates San Sebastian de Los Reyes,3.5,68,Average
Abirradero,4.5,559,Excellent
Ekubo',4.5,126,Excellent
Beefcious Montecarmelo,4.5,132,Excellent
Pura Brasa Arenas,4.0,2754,Excellent
Don Asador,5.0,164,Excellent
Pappa Sven,4.5,232,Excellent
Roux Bar,5.0,113,Excellent
Nacho Bravo,4.5,140,Excellent
Lune Creperie,5.0,84,Excellent
Passaparola Trattoria&Pizzeria,4.5,296,Excellent
Picnic Restaurant,4.5,771,Excellent
El Jardinet del Port Forum,4.5,33,Excellent
Tapas 2254,4.5,1065,Excellent
NoSè Cocktail Bar,4.5,152,Excellent
La Fresca,4.5,345,Excellent
Chez Lola,5.0,33,Excellent
Capet,4.5,263,Excellent
Santa Gula,4.5,960,Excellent
Il Mercante Di Venezia,4.5,883,Excellent
Flaherty's Irish Pub Barcelona,4.5,1705,Excellent
Ástor,5.0,1539,Excellent
Bodega Restaurante La Alegria,4.5,72,Excellent
Nina Pastabar,4.5,196,Excellent
Cedrón Wine Bar,5.0,122,Excellent
La Redonda Tortillas,3.5,3,Average
Govara,5.0,23,Excellent
Asador Nuevo Porche,4.5,300,Excellent
La Borda Del Mentidero,3.5,73,Average
Restaurante Volvoreta,4.5,640,Excellent
Queen Burger Gourmet,4.0,281,Excellent
Pizza Napoli,4.0,70,Excellent
Café Bar Orballo,4.0,51,Excellent
Bahía Taberna,4.5,1343,Excellent
Virtú Italiana Ristorante,4.5,20,Excellent
C&B Cocina y Barbacoa,5.0,22,Excellent
Restaurante PAIPAI,4.5,756,Excellent
Trastoque de Harvard,4.0,135,Excellent
La Pasta,5.0,88,Excellent
Fonda Espanya Restaurante,4.5,1156,Excellent
D.O.M. Restaurant,4.5,350,Excellent
Tempura-Ya,4.5,374,Excellent
Bo de B,4.5,767,Excellent
